"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"11433",6070709820,"2/3",2013,"G90","alt69","Astyanax lacustris",12,"Count",2,"S12859","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ASPASIA","CORREGO DA ESTIVA",-20.14451,-50.7331,22,"K",2,1
"11434",6070709820,"2/3",2013,"G90","alt69","Corydoras aeneus",11,"Count",2,"S12859","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ASPASIA","CORREGO DA ESTIVA",-20.14451,-50.7331,22,"K",2,1
"11435",6070709820,"2/3",2013,"G90","alt69","Gymnotus sylvius",3,"Count",2,"S12859","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ASPASIA","CORREGO DA ESTIVA",-20.14451,-50.7331,22,"K",2,1
"11436",6070709820,"2/3",2013,"G90","alt69","Laetacara araguaiae",12,"Count",2,"S12859","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ASPASIA","CORREGO DA ESTIVA",-20.14451,-50.7331,22,"K",2,1
"11385",6070709820,"2/3",2013,"G84","alt63","Astyanax lacustris",28,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11386",6070709820,"2/3",2013,"G84","alt63","Crenicichla britskii",5,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11387",6070709820,"2/3",2013,"G84","alt63","Geophagus brasiliensis",8,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11388",6070709820,"2/3",2013,"G84","alt63","Gymnotus sylvius",5,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11389",6070709820,"2/3",2013,"G84","alt63","Hoplias malabaricus",2,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11390",6070709820,"2/3",2013,"G84","alt63","Hyphessobrycon eques",4,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11391",6070709820,"2/3",2013,"G84","alt63","Imparfinis schubarti",1,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11392",6070709820,"2/3",2013,"G84","alt63","Knodus moenkhausii",39,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11393",6070709820,"2/3",2013,"G84","alt63","Laetacara araguaiae",1,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11394",6070709820,"2/3",2013,"G84","alt63","Oligosarcus pintoi",4,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11395",6070709820,"2/3",2013,"G84","alt63","Poecilia reticulata",4,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11396",6070709820,"2/3",2013,"G84","alt63","Rhamdia quelen",1,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11397",6070709820,"2/3",2013,"G84","alt63","Satanoperca pappaterra",2,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11398",6070709820,"2/3",2013,"G84","alt63","Serrapinnus notomelas",4,"Count",2,"S12853","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","TURMALINA","CORREGO DO DESENGANO",-20.15534,-50.43803,22,"K",1,1
"11399",6070709820,"2/3",2013,"G85","alt64","Aspidoras fuscoguttatus",2,"Count",2,"S12854","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","VITORIA BRASIL","UNNAMED TRIBUTARY CORREGO DA HELENA",-20.16881,-50.4933,22,"K",1,1
"11400",6070709820,"2/3",2013,"G85","alt64","Astyanax lacustris",6,"Count",2,"S12854","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","VITORIA BRASIL","UNNAMED TRIBUTARY CORREGO DA HELENA",-20.16881,-50.4933,22,"K",1,1
"11401",6070709820,"2/3",2013,"G85","alt64","Cichlasoma paranaense",4,"Count",2,"S12854","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","VITORIA BRASIL","UNNAMED TRIBUTARY CORREGO DA HELENA",-20.16881,-50.4933,22,"K",1,1
"11402",6070709820,"2/3",2013,"G85","alt64","Cyphocharax vanderi",9,"Count",2,"S12854","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","VITORIA BRASIL","UNNAMED TRIBUTARY CORREGO DA HELENA",-20.16881,-50.4933,22,"K",1,1
"11403",6070709820,"2/3",2013,"G85","alt64","Gymnotus sylvius",5,"Count",2,"S12854","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","VITORIA BRASIL","UNNAMED TRIBUTARY CORREGO DA HELENA",-20.16881,-50.4933,22,"K",1,1
