"HYBAS_ID","Quarter.x","UnitAbundance","Year","TimeSeriesID","SurveyID","Species","Abundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2","dis_m3_pyr","ele_mt_cav","tmp_dc_cyr","pre_mm_cyr","hft_ix_c","CSI","CSI_FF2"
"9317",2070053410,"4","Ind.100m2",1985,"G4079","nfp13656","Rutilus rutilus",6.725,27,"S1841","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER WITHAM",53.10287,-0.679592544,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9321",2070053410,"4","Ind.100m2",1985,"G4079","nfp13656","Squalius cephalus",1.807,27,"S1841","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","RIVER WITHAM",53.10287,-0.679592544,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9331",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Anguilla anguilla",11.078,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9341",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Esox lucius",0.226,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9351",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Gobio gobio",3.542,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9361",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Gymnocephalus cernua",0.264,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9371",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Leuciscus leuciscus",3.73,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9381",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Rutilus rutilus",5.087,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9391",2070053410,"4","Ind.100m2",1985,"G4235","nfp14790","Squalius cephalus",0.641,27,"S1980","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",53.07431,-0.698378884,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9401",2070053410,"4","Ind.100m2",1985,"G4479","nfp16549","Anguilla anguilla",2.329,27,"S2150","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","NOTTINGHAMSHIRE","UPPER RIVER WITHAM",53.03167,-0.745891233,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9417",2070053410,"4","Ind.100m2",1985,"G4479","nfp16549","Gobio gobio",1.43,27,"S2150","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","NOTTINGHAMSHIRE","UPPER RIVER WITHAM",53.03167,-0.745891233,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9421",2070053410,"4","Ind.100m2",1985,"G4479","nfp16549","Leuciscus leuciscus",4.291,27,"S2150","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","NOTTINGHAMSHIRE","UPPER RIVER WITHAM",53.03167,-0.745891233,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9431",2070053410,"4","Ind.100m2",1985,"G4479","nfp16549","Rutilus rutilus",0.041,27,"S2150","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","NOTTINGHAMSHIRE","UPPER RIVER WITHAM",53.03167,-0.745891233,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9441",2070053410,"4","Ind.100m2",1985,"G4479","nfp16549","Squalius cephalus",0.49,27,"S2150","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","NOTTINGHAMSHIRE","UPPER RIVER WITHAM",53.03167,-0.745891233,30,"U",3,3,5.535,18,97,586,271,98.17072,2
"9451",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Anguilla anguilla",0.553,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9461",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Barbatula barbatula",0.041,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9471",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Cyprinus carpio",0.018,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9481",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Esox lucius",0.012,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9491",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Gobio gobio",0.218,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9501",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Leuciscus leuciscus",0.83,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9517",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Perca fluviatilis",0.059,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9521",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Phoxinus phoxinus",0.041,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9531",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Rutilus rutilus",0.418,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
"9541",2070053410,"4","Ind.100m2",1985,"G4024","nfp13332","Salmo trutta",0.365,27,"S1803","Electrofishing","Palearctic",2080053410,"GBR","ENGLAND","LINCOLNSHIRE","UPPER RIVER WITHAM",52.98591,-0.671244289,30,"U",3,3,2.286,46,96,594,329,99.8384,2
